ticker,level,timeframe,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth,momentum
AMP,MED,daily,SHORT,2021-09-22,240.7404384246095,2021-09-27,259.99967349857826,STOP,-8.000000000000004,5,0.33127903962091565,-0.05865298128636087
AMP,MED,daily,SHORT,2021-12-01,278.5047310467449,2022-01-05,300.78510953048453,STOP,-8.000000000000016,7,0.35287676035559007,-0.03647937087916309
AMP,MED,daily,SHORT,2022-03-04,266.68156013931224,2022-03-22,288.01608495045724,STOP,-8.000000000000009,13,0.15614729095890503,-0.046381817854644125
AMP,MED,daily,SHORT,2022-12-19,297.40422203731055,2023-01-17,321.1965598002954,STOP,-8.000000000000004,6,0.3819143686165708,-0.030726279529942446
AMP,MED,daily,SHORT,2023-02-28,326.93996573351944,2023-04-12,292.4116516113281,TIME,10.56105638376878,6,0.32277318510698016,-0.03490083771990482
AMP,MED,daily,SHORT,2024-07-19,410.0006735133137,2024-08-30,441.15679931640625,TIME,-7.599042590860729,13,0.18207239406688358,-0.013179137228100601
AMP,MED,daily,SHORT,2025-07-30,519.2110765840986,2025-09-11,497.7618103027344,TIME,4.131126481830744,6,0.28832370514080347,-0.04434940779043339
AMP,MED,daily,SHORT,2025-09-15,495.3970426402351,2025-10-27,481.5264587402344,TIME,2.7998923501999498,19,0.10822662906473594,-0.020567315412020615
AMP,MED,daily,SHORT,2025-10-23,473.54788989071244,2025-12-05,475.6542663574219,TIME,-0.44480748656604807,18,0.11980806977629757,-0.02569105238331515
ES,MED,daily,SHORT,2021-09-15,72.75508693431509,2021-10-27,72.21503448486328,TIME,0.7422882333153942,9,0.31354426942140234,-0.022136192117866216
ES,MED,daily,SHORT,2021-11-10,70.65395798962737,2021-12-15,76.30627462879757,STOP,-8.000000000000007,8,0.27597888712605795,-0.040306871323164906
ES,MED,daily,SHORT,2022-02-16,69.75832085759299,2022-03-30,75.33898652620043,STOP,-7.999999999999997,12,0.15185594104864036,-0.041170956968763384
ES,MED,daily,SHORT,2022-09-27,73.71507695408617,2022-11-08,65.97523498535156,TIME,10.499672914342085,8,0.12647948350409216,-0.04721905893717926
ES,MED,daily,SHORT,2023-01-23,69.72485028755881,2023-03-07,65.40093231201172,TIME,6.201401591705703,20,0.14515146843961815,-0.048425564011251754
ES,MED,daily,SHORT,2023-02-27,68.05326541374606,2023-04-11,70.8672103881836,TIME,-4.134915433270517,10,0.12245202608868239,-0.04021635878247254
ES,MED,daily,SHORT,2023-05-18,65.60665893554688,2023-07-03,63.3163948059082,TIME,3.490901940134868,6,0.16908129316088488,-0.03981428305692458
ES,MED,daily,SHORT,2024-05-28,53.789614419227945,2024-07-11,55.39360809326172,TIME,-2.981976523446505,51,0.24284038301991825,-0.0483331770223695
ES,MED,daily,SHORT,2024-10-09,60.0901303478277,2024-11-20,58.0729866027832,TIME,3.3568636535956866,20,0.21986648456019917,-0.036164362448230625
ES,MED,daily,SHORT,2025-04-09,51.737533549946306,2025-04-14,55.87653623394201,STOP,-8.000000000000004,10,0.10155877561949057,-0.09805193664353762
